Item Name,Item ID,Item meta,Has NBT,Display Name
minecraft:stone,1,0,FALSE,石头
minecraft:grass,2,0,FALSE,草方块
minecraft:dirt,3,0,FALSE,泥土
minecraft:dirt,3,2,FALSE,灰化土
minecraft:cobblestone,4,0,FALSE,圆石
minecraft:planks,5,0,FALSE,橡木木板
minecraft:planks,5,1,FALSE,云杉木板
minecraft:planks,5,2,FALSE,白桦木板
minecraft:planks,5,3,FALSE,丛林木板
minecraft:planks,5,4,FALSE,金合欢木板
minecraft:planks,5,5,FALSE,深色橡木木板
minecraft:sapling,6,0,FALSE,橡树树苗
minecraft:sapling,6,1,FALSE,云杉树苗
minecraft:sapling,6,2,FALSE,白桦树苗
minecraft:sapling,6,3,FALSE,丛林树苗
minecraft:sapling,6,4,FALSE,金合欢树苗
minecraft:sapling,6,5,FALSE,深色橡树树苗
minecraft:bedrock,7,0,FALSE,基岩
minecraft:flowing_water,8,0,FALSE,水
minecraft:water,9,0,FALSE,水
minecraft:flowing_lava,10,0,FALSE,岩浆
minecraft:lava,11,0,FALSE,岩浆
minecraft:sand,12,0,FALSE,沙子
minecraft:sand,12,1,FALSE,红沙
minecraft:gravel,13,0,FALSE,沙砾
minecraft:gold_ore,14,0,FALSE,金矿石
minecraft:iron_ore,15,0,FALSE,铁矿石
minecraft:coal_ore,16,0,FALSE,煤矿石
minecraft:log,17,0,FALSE,橡木
minecraft:log,17,1,FALSE,云杉木
minecraft:log,17,2,FALSE,白桦木
minecraft:log,17,3,FALSE,丛林木
minecraft:leaves,18,0,FALSE,橡树树叶
minecraft:leaves,18,1,FALSE,云杉树叶
minecraft:leaves,18,2,FALSE,白桦树叶
minecraft:leaves,18,3,FALSE,丛林树叶
minecraft:sponge,19,0,FALSE,海绵
minecraft:glass,20,0,FALSE,玻璃
minecraft:lapis_ore,21,0,FALSE,青金石矿石
minecraft:lapis_block,22,0,FALSE,青金石块
minecraft:dispenser,23,0,FALSE,发射器
minecraft:sandstone,24,0,FALSE,沙石
minecraft:sandstone,24,1,FALSE,錾制沙石
minecraft:sandstone,24,2,FALSE,平滑沙石
minecraft:noteblock,25,0,FALSE,音符盒
minecraft:golden_rail,27,0,FALSE,动力铁轨
minecraft:detector_rail,28,0,FALSE,探测铁轨
minecraft:sticky_piston,29,0,FALSE,粘性活塞
minecraft:web,30,0,FALSE,蜘蛛网
minecraft:tallgrass,31,1,FALSE,草
minecraft:tallgrass,31,2,FALSE,蕨
minecraft:deadbush,32,0,FALSE,枯死的灌木
minecraft:piston,33,0,FALSE,活塞
minecraft:wool,35,0,FALSE,羊毛
minecraft:wool,35,1,FALSE,橙色羊毛
minecraft:wool,35,2,FALSE,品红色羊毛
minecraft:wool,35,3,FALSE,淡蓝色羊毛
minecraft:wool,35,4,FALSE,黄色羊毛
minecraft:wool,35,5,FALSE,黄绿色羊毛
minecraft:wool,35,6,FALSE,粉红色羊毛
minecraft:wool,35,7,FALSE,灰色羊毛
minecraft:wool,35,8,FALSE,淡灰色羊毛
minecraft:wool,35,9,FALSE,青色羊毛
minecraft:wool,35,10,FALSE,紫色羊毛
minecraft:wool,35,11,FALSE,蓝色羊毛
minecraft:wool,35,12,FALSE,棕色羊毛
minecraft:wool,35,13,FALSE,绿色羊毛
minecraft:wool,35,14,FALSE,红色羊毛
minecraft:wool,35,15,FALSE,黑色羊毛
minecraft:yellow_flower,37,0,FALSE,蒲公英
minecraft:red_flower,38,0,FALSE,罂粟
minecraft:red_flower,38,1,FALSE,兰花
minecraft:red_flower,38,2,FALSE,绒球葱
minecraft:red_flower,38,3,FALSE,茜草花
minecraft:red_flower,38,4,FALSE,红色郁金香
minecraft:red_flower,38,5,FALSE,橙色郁金香
minecraft:red_flower,38,6,FALSE,白色郁金香
minecraft:red_flower,38,7,FALSE,粉红色郁金香
minecraft:red_flower,38,8,FALSE,滨菊
minecraft:brown_mushroom,39,0,FALSE,蘑菇
minecraft:red_mushroom,40,0,FALSE,蘑菇
minecraft:gold_block,41,0,FALSE,金块
minecraft:iron_block,42,0,FALSE,铁块
minecraft:stone_slab,44,0,FALSE,石台阶
minecraft:stone_slab,44,1,FALSE,沙石台阶
minecraft:stone_slab,44,3,FALSE,圆石台阶
minecraft:stone_slab,44,4,FALSE,砖台阶
minecraft:stone_slab,44,5,FALSE,石砖台阶
minecraft:stone_slab,44,6,FALSE,地狱砖台阶
minecraft:stone_slab,44,7,FALSE,石英台阶
minecraft:brick_block,45,0,FALSE,砖块
minecraft:tnt,46,0,FALSE,TNT
minecraft:bookshelf,47,0,FALSE,书架
minecraft:mossy_cobblestone,48,0,FALSE,苔石
minecraft:obsidian,49,0,FALSE,黑曜石
minecraft:torch,50,0,FALSE,火把
minecraft:fire,51,0,FALSE,火
minecraft:mob_spawner,52,64,FALSE,刷怪箱
minecraft:mob_spawner,52,65,FALSE,刷怪箱
minecraft:mob_spawner,52,66,FALSE,刷怪箱
minecraft:mob_spawner,52,90,FALSE,刷怪箱
minecraft:mob_spawner,52,91,FALSE,刷怪箱
minecraft:mob_spawner,52,92,FALSE,刷怪箱
minecraft:mob_spawner,52,93,FALSE,刷怪箱
minecraft:mob_spawner,52,94,FALSE,刷怪箱
minecraft:mob_spawner,52,95,FALSE,刷怪箱
minecraft:mob_spawner,52,96,FALSE,刷怪箱
minecraft:mob_spawner,52,97,FALSE,刷怪箱
minecraft:mob_spawner,52,98,FALSE,刷怪箱
minecraft:mob_spawner,52,99,FALSE,刷怪箱
minecraft:mob_spawner,52,100,FALSE,刷怪箱
minecraft:mob_spawner,52,50,FALSE,刷怪箱
minecraft:mob_spawner,52,51,FALSE,刷怪箱
minecraft:mob_spawner,52,52,FALSE,刷怪箱
minecraft:mob_spawner,52,53,FALSE,刷怪箱
minecraft:mob_spawner,52,54,FALSE,刷怪箱
minecraft:mob_spawner,52,55,FALSE,刷怪箱
minecraft:mob_spawner,52,120,FALSE,刷怪箱
minecraft:mob_spawner,52,56,FALSE,刷怪箱
minecraft:mob_spawner,52,57,FALSE,刷怪箱
minecraft:mob_spawner,52,58,FALSE,刷怪箱
minecraft:mob_spawner,52,59,FALSE,刷怪箱
minecraft:mob_spawner,52,60,FALSE,刷怪箱
minecraft:mob_spawner,52,61,FALSE,刷怪箱
minecraft:mob_spawner,52,62,FALSE,刷怪箱
minecraft:oak_stairs,53,0,FALSE,橡木楼梯
minecraft:chest,54,0,FALSE,箱子
minecraft:diamond_ore,56,0,FALSE,钻石矿石
minecraft:diamond_block,57,0,FALSE,钻石块
minecraft:crafting_table,58,0,FALSE,工作台
minecraft:farmland,60,0,FALSE,耕地
minecraft:furnace,61,0,FALSE,熔炉
minecraft:lit_furnace,62,0,FALSE,熔炉
minecraft:ladder,65,0,FALSE,梯子
minecraft:rail,66,0,FALSE,铁轨
minecraft:stone_stairs,67,0,FALSE,石楼梯
minecraft:lever,69,0,FALSE,拉杆
minecraft:stone_pressure_plate,70,0,FALSE,压力板
minecraft:wooden_pressure_plate,72,0,FALSE,压力板
minecraft:redstone_ore,73,0,FALSE,红石矿石
minecraft:redstone_torch,76,0,FALSE,红石火把
minecraft:stone_button,77,0,FALSE,按钮
minecraft:snow_layer,78,0,FALSE,雪
minecraft:ice,79,0,FALSE,冰
minecraft:snow,80,0,FALSE,雪
minecraft:cactus,81,0,FALSE,仙人掌
minecraft:clay,82,0,FALSE,粘土块
